UID,Title,Article_Link,Authors,Abstract,Publication,Num_citation,Cited_by_url,Published_Year
A7lw9n158EQJ,Applicationof the adjacency matrixeigenvectorsmethod to geometry determination of toroidal carbon molecules,https://pubs.aip.org/aip/jcp/article-abstract/113/5/1925/447701,"['A Graovac', ' D Plavšić', ' M Kaufman', 'T Pisanski…']",…applicationof the AME method to fullerenes is based on an appropriately chosen triplet ofeigenvectors… should be checked for among thoseeigenvectorswhich possess no radial nodal …,pubs.aip.org,43,"/scholar?cites=4967603970902112515&as_sdt=2005&sciodt=0,5&hl=en",2000
03FruDIoRyUJ,Random matrices: universal properties ofeigenvectors,https://www.worldscientific.com/doi/abs/10.1142/S2010326311500018,"['T Tao', 'V Vu']","… As anapplication, we prove some central limit theorems for theseeigenvectors. In anotherapplication, we prove a universality result for the resolvent, up to the real axis. This implies …",Scientific,100,"/scholar?cites=2686159901057315283&as_sdt=2005&sciodt=0,5&hl=en",2012
zuxdhj7DCekJ,Applicationofeigenvectoranalysis to remote sensing of coastal water quality,https://www.tandfonline.com/doi/abs/10.1080/01431169108955182,['JC Hinton'],… Results of aneigenvectoranalysis of radiance spectra and sea-truth data collected as partof airborne remote sensing campaigns in 1984 and 1985 are presented. Theeigenvectorsof …,Francis,42,"/scholar?cites=16792167358937296078&as_sdt=2005&sciodt=0,5&hl=en",1991
6s9Z3_vWOMMJ,Spatial autocorrelation may bias the risk estimation: Anapplicationofeigenvectorspatial filtering on the risk of air pollutant on asthma,https://www.sciencedirect.com/science/article/pii/S004896972204150X,"['Y Park', 'SH Kim', ' SP Kim', ' J Ryu', ' J Yi', ' JY Kim…']",… We appliedeigenvectorspatial filter (ESF) to the spatio-temporal model to remove spatialautocorrelation and distributed lag nonlinear model (DLNM) to explore nonlinear patterns …,Elsevier,6,"/scholar?cites=14067229813364084714&as_sdt=2005&sciodt=0,5&hl=en",2022
rm9lsyc4lmIJ,On an unconditional basis of generalizedeigenvectorsof an analytic operator andapplicationto a problem of radiation of a vibrating structure in a light fluid,https://www.sciencedirect.com/science/article/pii/S0022247X10007274,"['I Feki', 'A Jeribi', ' R Sfaxi']","In this paper, we prove that the system of generalizedeigenvectorsof the perturbed operatorforms an unconditional basis with parentheses in a separable Hilbert space X; where ε∈C, …",Elsevier,18,"/scholar?cites=7103927205388185518&as_sdt=2005&sciodt=0,5&hl=en",2011
wAF8ujgVR5EJ,Lefteigenvectors: extraction from measurements and physical interpretation,https://asmedigitalcollection.asme.org/appliedmechanics/article-abstract/64/1/97/423479,"['I Bucher', ' SG Braun']",… In this paper the extraction of lefteigenvectors.from measured frequency response … rightand lefteigenvectorsand briefly mention some engineeringapplicationsusing lefteigenvectors…,asmedigitalcollection.asme.org,39,"/scholar?cites=10468359192237048256&as_sdt=2005&sciodt=0,5&hl=en",1997
zFxwIqsgG3sJ,Seismic Coherence Attribute Based onEigenvectorsand ItsApplication,https://ieeexplore.ieee.org/abstract/document/10187896/,"['J Sui', ' X Zheng', ' Q Zeng', ' Z Yang…']","…eigenvectors, so the C3 algorithm that merely utilizes the eigenvalues cannot measure energydifferences. In this paper, theeigenvector… What’s more, theeigenvectorsand eigenvalues …",ieeexplore.ieee.org,1,"/scholar?cites=8870719810425609420&as_sdt=2005&sciodt=0,5&hl=en",2023
inQGZzMb3_4J,Derivatives of eigenvalues andeigenvectorsin non-self-adjoint systems.,https://arc.aiaa.org/doi/abs/10.2514/3.6740,"['RH Plaut', ' K Huseyin']",… stress and three-dimensionalapplicationssuggested in Fig. 1. … must be answered in theapplicationof the method of initial … It is the development and ensuingapplicationof the large …,arc.aiaa.org,202,"/scholar?cites=18365427713025930378&as_sdt=2005&sciodt=0,5&hl=en",1973
Gyg0_NA53OYJ,On stochastic approximation of theeigenvectorsand eigenvalues of the expectation of a random matrix,https://www.sciencedirect.com/science/article/pii/0022247X85901313,"['E Oja', 'J Karhunen']",… There are severalapplicationsof digital signal processing and pattern recognition in which…eigenvectorsof data correlation or covariance matrices are needed. Some suchapplications…,Elsevier,744,"/scholar?cites=16635234693347026971&as_sdt=2005&sciodt=0,5&hl=en",1985
2daAywuHx30J,A teaching proposal for the study ofeigenvectorsand eigenvalues,https://upcommons.upc.edu/handle/2117/105666,"['MJ Beltrán Meneu', ' M Murillo Arcila…']","… and physicalapplicationsin the study ofeigenvectorsand … difficulties when treatingeigenvectorsand eigenvalues from … , structuring of knowledge andapplication, and considering …",upcommons.upc.edu,7,"/scholar?cites=9063361259835021017&as_sdt=2005&sciodt=0,5&hl=en",2017
7vrNf4pHVc8J,Problems and prospects foreigenvectoranalysis in meteorology,https://academic.oup.com/jrsssd/article-abstract/22/2/133/7120378,['JM Craddock'],… Mention is made of the significant advances in theapplicationofeigenvectortechniquesin … The statistical problems delaying further meteorological exploitation ofeigenvector…,academic.oup.com,72,"/scholar?cites=14939925999046753006&as_sdt=2005&sciodt=0,5&hl=en",1973
-DpOvX-NEioJ,Eigenvalues andeigenvectorsof symmetric centrosymmetric matrices,https://www.sciencedirect.com/science/article/pii/0024379576901014,"['A Cantoni', ' P Butler']",… It is proved that theeigenvectorsof a symmetric … ⌊N/2⌋ skew symmetriceigenvectors. Somepreviously known but … it is shown that theeigenvectorscorresponding to the eigenvalues …,Elsevier,415,"/scholar?cites=3031641078950148856&as_sdt=2005&sciodt=0,5&hl=en",1976
m6fcfxzmOkoJ,EigenvectorContinuation and Projection-Based Emulators,https://arxiv.org/abs/2310.19419,"['T Duguet', 'A Ekström', 'RJ Furnstahl', ' S König…']",…Eigenvectorcontinuation is a computational method for parametric eigenvalue problems thatuses subspace projection with a basis derived fromeigenvector…applicationsofeigenvector…,arxiv.org,6,"/scholar?cites=5348840517534525339&as_sdt=2005&sciodt=0,5&hl=en",2023
5dX4EosKvWgJ,[HTML][HTML]Methods of EEG signal features extraction using linear analysis in frequency and time-frequency domains,https://www.hindawi.com/journals/archive/2014/730218/,['AS Al'],"… the noise or signal subspaceeigenvectors. However, while the Pisarenko technique formapplicationof only the noise subspaceeigenvectorcorresponding to the minimum eigenvalue, …",hindawi.com,573,"/scholar?cites=7547200142977848805&as_sdt=2005&sciodt=0,5&hl=en",2014
5hZZ5p6znPUJ,Localization on low-ordereigenvectorsof data matrices,https://arxiv.org/abs/1109.1355,"['M Cucuringu', 'MW Mahoney']","… In both of theseapplications, we will look ateigenvectorsof matrices constructed from thedata graph. Recall that given a weighted graph G = (V,E,W), one can define the Laplacian …",arxiv.org,29,"/scholar?cites=17698218130710009574&as_sdt=2005&sciodt=0,5&hl=en",2011
HItcWXp3gTYJ,Potential errors in theapplicationof principal component (eigenvector) analysis to geophysical data,https://www.jstor.org/stable/26180504,"['TR Karl', ' AJ Koscielny', 'HF Diaz']",Principal component (PC) analysis performed on irregularly spaced data can produce distortedloading patterns. We provide an example to demonstrate some distorted patterns which …,JSTOR,133,"/scholar?cites=3927551717412735772&as_sdt=2005&sciodt=0,5&hl=en",1982
YIphFlWdzSoJ,Distribution of eigenvalues andeigenvectorsof Wishart matrix when the population eigenvalues are infinitely dispersed and itsapplicationto minimax estimation of …,https://www.sciencedirect.com/science/article/pii/S0047259X0400106X,"['A Takemura', ' Y Sheena']",… relevant elements of the sampleeigenvectorsare asymptotically all mutually independently… elements of theeigenvectorsis the standard normal distribution. As anapplicationof this …,Elsevier,28,"/scholar?cites=3084294308591929952&as_sdt=2005&sciodt=0,5&hl=en",2005
dv3MCkxJ7pAJ,Some results on proper eigenvalues andeigenvectorswithapplicationsto scaling,https://link.springer.com/article/10.1007/BF02293972,"['RP McDonald', ' Y Torii', ' S Nishisato']",… In this section we consider theapplicationof the theory to cases such as arise whenobservations are grouped according to some experimental design. We first consider a general …,Springer,29,"/scholar?cites=10443365176866307446&as_sdt=2005&sciodt=0,5&hl=en",1979
5lJ1NN4VEaMJ,[HTML][HTML]Eigenvectorsof isospectral graph transformations,https://www.sciencedirect.com/science/article/pii/S0024379515000671,"['P Duarte', ' MJ Torres']","… betweeneigenvectorsof the original graph and its reduction, that sheds new light on thistheory. As anapplicationwe propose an updating algorithm for the maximaleigenvectorof the …",Elsevier,14,"/scholar?cites=11750196946893361894&as_sdt=2005&sciodt=0,5&hl=en",2015
O4sNPrR-mqwJ,Applicationof robusteigenvectorsto the compression of infrared spectral libraries,https://pubs.acs.org/doi/pdf/10.1021/ac00175a009,"['PB Harrington', 'TL Isenhour']",…eigenvectorsfor spectral library quality control is also discussed. THEORY The compressionof spectral libraries byeigenvectorpro… of theapplicationofeigenvectormethods appliedto …,Publications,20,"/scholar?cites=12437392633537334075&as_sdt=2005&sciodt=0,5&hl=en",1988
gQz9GatFXssJ,[PDF][PDF]Diagnostics of induction motor based on analysis of acoustic signals with theapplicationofeigenvectormethod and k-nearest neighbor classifier,https://bibliotekanauki.pl/articles/355094.pdf,['A Głowacz'],… of theeigenvectorsand vk is the k−theigenvectorof the … theeigenvectorsvk used in thesum correspond to the smallest eigenvalues λk of the correlation matrix. Theeigenvectorsused …,bibliotekanauki.pl,17,"/scholar?cites=14654226838687911041&as_sdt=2005&sciodt=0,5&hl=en",2012
6hL7E48K6bAJ,Quadratic perturbation expansions of certain functions of eigenvalues andeigenvectorsand theirapplicationto sensitivity analysis in multivariate methods,https://www.tandfonline.com/doi/abs/10.1080/03610929008830358,"['Y Tanaka', ' E Castaño']","… andeigenvectorsof real symmetric matrices. These influence functions play important rolesin actual data analysis. However, the influence functions foreigenvectorsbecome unstable …",Francis,18,"/scholar?cites=12747731829880722154&as_sdt=2005&sciodt=0,5&hl=en",1990
Ps6ONhN8TTIJ,Derivatives of eigenvalues andeigenvectors,https://arc.aiaa.org/doi/abs/10.2514/3.5795,['LC Rogers'],… Such a tool would receive wideapplicationin finding the gradient of a dynamic type constraintvariable as a function of the design parameters in an automated optimization procedure. It …,arc.aiaa.org,246,"/scholar?cites=3624689697064668734&as_sdt=2005&sciodt=0,5&hl=en",1970
C7Do31BiMoIJ,Measuring container port accessibility: Anapplicationof the PrincipalEigenvectorMethod (PEM),https://link.springer.com/article/10.1057/palgrave.mel.9100192,"['Y Wang', 'K Cullinane']","…eigenvectormethod (PEM) to a sample of port data. This method revolves around the use ofthe principaleigenvectorof the … Moreover, the non-principaleigenvectorcan also be used to …",Springer,77,"/scholar?cites=9381669073259638795&as_sdt=2005&sciodt=0,5&hl=en",2008
qszz_tPj5rsJ,Eigenvectorexpansions of Green's dyads withapplicationsto geophysical theory,https://academic.oup.com/gji/article-abstract/16/4/417/587501,['A Ben'],The treatment of boundary value problems in various vector-separable regimes is unified andfacilitated with the use of theeigenvectorexpansion of their corresponding Green's tensors…,academic.oup.com,108,"/scholar?cites=13539759829390970026&as_sdt=2005&sciodt=0,5&hl=en",1968
OyBoaA_J74UJ,Notice of Retraction:Applicationofeigenvectorcentrality in metabolic networks,https://ieeexplore.ieee.org/abstract/document/5486281/,"['D Ding', ' X He']",…eigenvectorcentrahty method [13] to study metabolic networks of 20 organisms from differentspecies. We introduced theeigenvector… networks witheigenvectorcentrality method and …,ieeexplore.ieee.org,13,"/scholar?cites=9651153594491609147&as_sdt=2005&sciodt=0,5&hl=en",2010
pBUuaLeiJXQJ,[PDF][PDF]Partitioning networks byeigenvectors,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f38e9f30811280247e8bd6953397f41e28e77416,"['AJ Seary', ' WD Richards']","…applicationsin Algebraic Graph Theory (especially for regular graphs) - requires that weeither form combinations of itseigenvectorsto … into the family ofeigenvectors), ordevise better ""…",Citeseer,62,"/scholar?cites=8369274391148500388&as_sdt=2005&sciodt=0,5&hl=en",1995
uB25aSo-VQ8J,A theorem concerning differentiability ofeigenvectorsand eigenvales with someapplications,https://www.tandfonline.com/doi/abs/10.1080/00036818808839766,['EK Ifantis'],"Let H(ν) be a family of self-adjoint operators, bounded or unbounded, in a separable Hilbertspace H. It is assumed that H (ν) as a function of the real parameter ν is differentiable, with …",Francis,19,"/scholar?cites=1104857635472612792&as_sdt=2005&sciodt=0,5&hl=en",1988
VC0aLSiY7UYJ,Semiparametric filtering of spatial autocorrelation: theeigenvectorapproach,https://journals.sagepub.com/doi/abs/10.1068/a37378,"['M Tiefelsdorf', 'DA Griffith']","… As in one non-parametric spatial filtering approach, a specific subset ofeigenvectorsfrom a… subset of selectedeigenvectors. Anapplicationof the proposedeigenvectorspatial filtering …",journals.sagepub.com,369,"/scholar?cites=5110908450458185044&as_sdt=2005&sciodt=0,5&hl=en",2007
VXV6lkr38NEJ,Eigenvectorproperties of Toeplitz matrices and theirapplicationto spectral analysis of time series,https://www.sciencedirect.com/science/article/pii/0165168484900239,['SS Reddi'],"…eigenvectorproperty of Toeplitz matrices. The property, a variant of Caratheodory's theorem,is that the zeroes of the polynomials formed fromeigenvectorswith … based oneigenvectors/…",Elsevier,29,"/scholar?cites=15127863048061744469&as_sdt=2005&sciodt=0,5&hl=en",1984
F2an5rKCOhAJ,Online learning ofeigenvectors,https://proceedings.mlr.press/v37/garberb15.html,"['D Garber', 'E Hazan', 'T Ma']",… Computing the leadingeigenvectorof a symmetric real matrix … extension of the leadingeigenvectorproblem: a sequence of … Perhaps the best knownapplicationof this problem is the …,proceedings.mlr.press,52,"/scholar?cites=1169390758141584919&as_sdt=2005&sciodt=0,5&hl=en",2015
6HWhhKkPI5kJ,Quantumeigenvectorcontinuation for chemistryapplications,https://iopscience.iop.org/article/10.1088/2516-1075/ad018f/meta,['C Mejuto'],"… In this paper, we demonstrate the use of aeigenvectorcontinuation—a subspace expansionthat uses a few eigenstates as a basis—as a tool for rapidly exploring PESs. We apply this …",iopscience.iop.org,4,"/scholar?cites=11034680732736910824&as_sdt=2005&sciodt=0,5&hl=en",2023
TaBEDNfCtuUJ,Derivatives and perturbations ofeigenvectors,https://epubs.siam.org/doi/abs/10.1137/0725041,"['CD Meyer', ' GW Stewart']","… complex variable z, we present results concerning derivatives of aneigenvectorx(z) of A(z) …of aneigenvectorunder small perturbations in the underlying matrix. Theapplicationwhich …",SIAM,128,"/scholar?cites=16552631709326417997&as_sdt=2005&sciodt=0,5&hl=en",1988
gMiePJ23akcJ,Eigenvalues andeigenvectorsfor matrices over distributive lattices,https://www.sciencedirect.com/science/article/pii/S0024379598101052,['YJ Tan'],… A vector ~ is said to be aneigenvectorof a square matrix A over the lattice L ifA~ = 2~ for …we characterize the eigenvalues and theeigenvectorsand also the roots of the characteristic …,Elsevier,58,"/scholar?cites=5146127410179000448&as_sdt=2005&sciodt=0,5&hl=en",1998
B2Wqe4Xyc5YJ,Eigenvectorsand eigenvalues of non-regular graphs,https://www.sciencedirect.com/science/article/pii/S0024379505001886,['XD Zhang'],"… In this paper, we investigate the ratio of any two components of a maximaleigenvectorof anon-… In order to obtain a lower bound for the ratio γ of a maximaleigenvector, we need the fol…",Elsevier,72,"/scholar?cites=10841275383130252551&as_sdt=2005&sciodt=0,5&hl=en",2005
LO9_PxlPs5kJ,Tree decomposition byeigenvectors,https://www.sciencedirect.com/science/article/pii/S002437950800342X,"['T Sander', 'JW Sander']","…eigenvectorstructure has been studied before, but with different aims [12]. As anapplication… As a secondapplicationwe rediscover and generalize a result concerned with tree pattern …",Elsevier,9,"/scholar?cites=11075282878492307244&as_sdt=2005&sciodt=0,5&hl=en",2009
_zfcI0aLX0EJ,Multiple representations to compute orthogonaleigenvectorsof symmetric tridiagonal matrices,https://www.sciencedirect.com/science/article/pii/S002437950300908X,"['IS Dhillon', ' BN Parlett']","… that it computeseigenvectorsthat are numerically orthogonal … = O(nε)) to aneigenvectorvof a tridiagonal matrix LDLt (L is … To compute the correspondingeigenvectors, the proposed …",Elsevier,209,"/scholar?cites=4710636868618434559&as_sdt=2005&sciodt=0,5&hl=en",2004
1P1f5ia3IRwJ,Eigenvectorsof tensors—A primer,https://link.springer.com/article/10.1007/s10440-018-0225-7,['S Walcher'],"… We give an introduction to the theory and to someapplicationsofeigenvectorsof tensors (in… There are twoapplicationswhich refer specifically toeigenvectors, and we discuss these in …",Springer,6,"/scholar?cites=2027102684995124692&as_sdt=2005&sciodt=0,5&hl=en",2019
y8s-sPEJCCwJ,Asymptotic properties of spiked eigenvalues andeigenvectorsof signal-plus-noise matrices with theirapplications,https://arxiv.org/abs/2310.13939,"['X Liu', ' Y Liu', 'G Pan', ' L Zhang', ' Z Zhang']","… Our study focuses on exploring various asymptotic properties related to the spiked eigenvaluesandeigenvectors. Asapplications, we propose a new criterion to estimate the number of …",arxiv.org,1,"/scholar?cites=3172796871131188171&as_sdt=2005&sciodt=0,5&hl=en",2023
8BvZC-ZP5_kJ,"Perron-frobenius theory in nearly linear time: Positiveeigenvectors, m-matrices, graph kernels, and otherapplications",https://epubs.siam.org/doi/abs/10.1137/1.9781611975482.85,"['AM Ahmadinejad', 'A Jambulapati', 'A Saberi…']","… natural method for computingeigenvectorsof a matrix known as … While some of these aredirectapplications, others require … even broaderapplicationsthan those provided in this paper. …",SIAM,16,"/scholar?cites=18007449484524067824&as_sdt=2005&sciodt=0,5&hl=en",2019
M8DUWbLdqiAJ,Partitioning sparse matrices witheigenvectorsof graphs,https://epubs.siam.org/doi/abs/10.1137/0611030,"['A Pothen', 'HD Simon', ' KP Liou']",… We compute a particulareigenvectorof the Laplacian matrix … it computes a separator fromeigenvectorcomponents. Thus the … aneigenvectory corresponding to 2 a secondeigenvector. …,SIAM,2484,"/scholar?cites=2353937513335537715&as_sdt=2005&sciodt=0,5&hl=en",1990
4lnmVQdSgV4J,On asymptotics ofeigenvectorsof large sample covariance matrix,https://projecteuclid.org/journals/annals-of-probability/volume-35/issue-4/On-asymptotics-of-eigenvectors-of-large-sample-covariance-matrix/10.1214/009117906000001079.short,"['ZD Bai', ' BQ Miao', 'GM Pan']","… Now, let us consider another example of theapplicationofeigenvectorsof a large covariancematrix An which is important in wireless communications. Consider transmission methods …",projecteuclid.org,170,"/scholar?cites=6809814303020308962&as_sdt=2005&sciodt=0,5&hl=en",2007
k5H8AXrorRkJ,Analytical computation of the eigenvalues andeigenvectorsin DT-MRI,https://www.sciencedirect.com/science/article/pii/S1090780701924000,"['KM Hasan', 'PJ Basser', 'DL Parker…']","… , the eigenvalues andeigenvectorsmust be computed first. For example, in fibertrackingapplicationsthe accurate determination of the principaleigenvectordirections for a large …",Elsevier,155,"/scholar?cites=1850390632636125587&as_sdt=2005&sciodt=0,5&hl=en",2001
V_zXFll8s5QJ,Automated microaneurysm segmentation and detection using generalizedeigenvectors,https://ieeexplore.ieee.org/abstract/document/4129498/,"['P Pallawala', 'W Hsu', 'ML Lee…']",… This paper describes an approach that is based on the generalizedeigenvectorsof affinitymatrix to … The generalizedeigenvectorsolution seeks to find the optimal segmentation for …,ieeexplore.ieee.org,35,"/scholar?cites=10715044660521729111&as_sdt=2005&sciodt=0,5&hl=en",2005
ERJSvsVueiwJ,[PDF][PDF]Detection and location of damages in offshore platforms: Anapplicationof some methods usingeigenvectors,https://www.researchgate.net/profile/N-Roitman/publication/252507768_Detection_and_Location_of_Damages_in_Offshore_Platforms_An_Application_of_Some_Methods_Using_Eigenvectors/links/53e2dbc00cf2b9d0d832bd54/Detection-and-Location-of-Damages-in-Offshore-Platforms-An-Application-of-Some-Methods-Using-Eigenvectors.pdf,"['N Roitman', ' PF Viero']","… technique takes two sets ofeigenvectorsfrom either test and finite element analysis or testand test. In this work, the MAC was used to compare theeigenvectorfrom the perfect structure …",researchgate.net,8,"/scholar?cites=3204995880408191505&as_sdt=2005&sciodt=0,5&hl=en",1997
Hge3aTZQlm4J,Eigenvectorcontinuation as an efficient and accurate emulator for uncertainty quantification,https://www.sciencedirect.com/science/article/pii/S0370269320306171,"['S König', 'A Ekström', 'K Hebeler', 'D Lee', 'A Schwenk']",… It is our hope that this code will facilitateapplicationsofeigenvectorcontinuation to a varietyof cases where efficient and accurate emulators are required. Making use of freely available …,Elsevier,91,"/scholar?cites=7968644785310730014&as_sdt=2005&sciodt=0,5&hl=en",2020
2qeZayvTO3wJ,Applicationof MoranEigenvectorMaps (MEM) to irregular sampling designs,https://www.sciencedirect.com/science/article/pii/S2211675316300586,"[""A Brind'Amour"", 'S Mahévas', 'P Legendre', ' L Bellanger']","… , we suggest that the sets ofeigenvectorswith positive and negative eigenvalues can be …correlations among the MEMs (ie non-orthogonaleigenvectors), however, the values of the …",Elsevier,20,"/scholar?cites=8951980867771279322&as_sdt=2005&sciodt=0,5&hl=en",2018
oKfurAKSIQQJ,[HTML][HTML]Eigenvalues andeigenvectorsof tau matrices withapplicationsto Markov processes and economics,https://www.sciencedirect.com/science/article/pii/S0024379521002408,"['SE Ekström', 'C Garoni', 'A Jozefiak', 'J Perla']","…eigenvectors; we obtain equations for the eigenvalues of T n , ε , φ , which provide also theeigenvectorsof … We also presentapplicationsof our results in the context of queuing models, …",Elsevier,7,"/scholar?cites=297679590572074912&as_sdt=2005&sciodt=0,5&hl=en",2021
MoXfyfJ2CIoJ,[HTML][HTML]On the principaleigenvectorsof uniform hypergraphs,https://www.sciencedirect.com/science/article/pii/S0024379516304141,"['L Liu', ' L Kang', ' X Yuan']","… principaleigenvector…eigenvectorof H. Meanwhile, we also obtain some bounds of the ratiox i / x j for i, j ∈ [ n ] as well as the principal ratio γ ( H ) = x max / x min of H. As anapplication…",Elsevier,21,"/scholar?cites=9946330562188772658&as_sdt=2005&sciodt=0,5&hl=en",2016
51VmtkYNkzUJ,Electrical impedance tomography in anisotropic media with knowneigenvectors,https://iopscience.iop.org/article/10.1088/0266-5611/27/6/065004/meta,"['JFPJ Abascal', 'WRB Lionheart', 'SR Arridge…']",… A useable constraint for medicalapplicationsis when theeigenvectorsof the underlying …tensor in anisotropic media with knowneigenvectorsfrom the complete boundary data. The …,iopscience.iop.org,23,"/scholar?cites=3860443902945678823&as_sdt=2005&sciodt=0,5&hl=en",2011
